HUGO_symbols,TCGA-AF-2687-01A-02R-1736-07,TCGA-AF-2690-01A-02R-1736-07,TCGA-AF-2691-01A-01R-0821-07,TCGA-AF-2692-01A-01R-0821-07,TCGA-AF-2693-01A-02R-1736-07,TCGA-AF-3400-01A-01R-0821-07,TCGA-AF-3913-01A-02R-1119-07,TCGA-AF-4110-01A-02R-1736-07,TCGA-AF-5654-01A-01R-1660-07,TCGA-AF-6136-01A-11R-1830-07,TCGA-AF-6655-01A-11R-1830-07,TCGA-AF-6672-01A-11R-1830-07,TCGA-AF-A56K-01A-32R-A39D-07,TCGA-AF-A56L-01A-31R-A39D-07,TCGA-AF-A56N-01A-12R-A39D-07,TCGA-AG-3574-01A-01R-0821-07,TCGA-AG-3575-01A-01R-0821-07,TCGA-AG-3578-01A-01R-0821-07,TCGA-AG-3580-01A-01R-0821-07,TCGA-AG-3581-01A-01R-0821-07,TCGA-AG-3582-01A-01R-0821-07,TCGA-AG-3584-01A-01R-0821-07,TCGA-AG-3587-01A-01R-0821-07,TCGA-AG-3591-01A-01R-1736-07,TCGA-AG-3593-01A-01R-0821-07,TCGA-AG-3594-01A-02R-0821-07,TCGA-AG-3598-01A-01R-0826-07,TCGA-AG-3599-01A-02R-0826-07,TCGA-AG-3600-01A-01R-0826-07,TCGA-AG-3602-01A-02R-0826-07,TCGA-AG-3605-01A-01R-0826-07,TCGA-AG-3609-01A-02R-0826-07,TCGA-AG-3611-01A-01R-0826-07,TCGA-AG-3612-01A-01R-0826-07,TCGA-AG-3725-01A-11R-1736-07,TCGA-AG-3726-01A-02R-0905-07,TCGA-AG-3727-01A-01R-0905-07,TCGA-AG-3728-01A-01R-0905-07,TCGA-AG-3732-01A-11R-1660-07,TCGA-AG-3742-01A-11R-1660-07,TCGA-AG-3878-01A-02R-0905-07,TCGA-AG-3881-01A-01R-0905-07,TCGA-AG-3882-01A-01R-0905-07,TCGA-AG-3883-01A-02R-0905-07,TCGA-AG-3885-01A-01R-0905-07,TCGA-AG-3887-01A-01R-1119-07,TCGA-AG-3890-01A-01R-1119-07,TCGA-AG-3892-01A-01R-1119-07,TCGA-AG-3893-01A-01R-1119-07,TCGA-AG-3894-01A-01R-1119-07,TCGA-AG-3896-01A-01R-1119-07,TCGA-AG-3898-01A-01R-1119-07,TCGA-AG-3901-01A-01R-1119-07,TCGA-AG-3902-01A-01R-A32Z-07,TCGA-AG-3909-01A-01R-1119-07,TCGA-AG-3999-01A-01R-1119-07,TCGA-AG-4005-01A-01R-1119-07,TCGA-AG-4008-01A-01R-1119-07,TCGA-AG-4015-01A-01R-1119-07,TCGA-AG-4021-01A-01R-1736-07,TCGA-AG-4022-01A-01R-1736-07,TCGA-AG-A002-01A-01R-A002-07,TCGA-AG-A008-01A-01R-A002-07,TCGA-AG-A00C-01A-01R-A002-07,TCGA-AG-A00H-01A-01R-A00A-07,TCGA-AG-A00Y-01A-02R-A002-07,TCGA-AG-A011-01A-01R-A002-07,TCGA-AG-A014-01A-02R-A002-07,TCGA-AG-A015-01A-01R-A002-07,TCGA-AG-A016-01A-01R-A002-07,TCGA-AG-A01J-01A-01R-A00A-07,TCGA-AG-A01L-01A-01R-A002-07,TCGA-AG-A01N-01A-01R-A00A-07,TCGA-AG-A01W-01A-21R-A083-07,TCGA-AG-A01Y-01A-41R-A083-07,TCGA-AG-A020-01A-21R-A083-07,TCGA-AG-A023-01A-01R-A00A-07,TCGA-AG-A025-01A-01R-A00A-07,TCGA-AG-A026-01A-01R-A00A-07,TCGA-AG-A02G-01A-01R-A00A-07,TCGA-AG-A02X-01A-01R-A00A-07,TCGA-AG-A032-01A-01R-A00A-07,TCGA-AG-A036-01A-12R-A083-07,TCGA-AH-6544-01A-11R-1830-07,TCGA-AH-6547-01A-11R-1830-07,TCGA-AH-6643-01A-11R-1830-07,TCGA-AH-6903-01A-11R-1928-07,TCGA-BM-6198-01A-11R-1736-07,TCGA-CI-6619-01B-11R-1830-07,TCGA-CI-6620-01A-11R-1830-07,TCGA-CI-6621-01A-11R-1830-07,TCGA-CI-6622-01A-11R-1830-07,TCGA-CI-6623-01B-11R-1830-07,TCGA-CI-6624-01C-11R-1830-07,TCGA-CL-4957-01A-01R-1736-07,TCGA-CL-5917-01A-11R-1660-07,TCGA-CL-5918-01A-11R-1660-07,TCGA-DC-4745-01A-01R-A32Z-07,TCGA-DC-4749-01A-01R-1736-07,TCGA-DC-5337-01A-01R-1660-07,TCGA-DC-5869-01A-01R-1660-07,TCGA-DC-6155-01A-11R-1660-07,TCGA-DC-6156-01A-11R-1660-07,TCGA-DC-6157-01A-11R-1660-07,TCGA-DC-6158-01A-11R-1660-07,TCGA-DC-6160-01A-11R-1660-07,TCGA-DC-6681-01A-11R-A32Z-07,TCGA-DC-6682-01A-11R-1830-07,TCGA-DC-6683-01A-11R-1830-07,TCGA-DT-5265-01A-21R-1830-07,TCGA-DY-A0XA-01A-11R-A155-07,TCGA-DY-A1DC-01A-31R-A155-07,TCGA-DY-A1DE-01A-11R-A155-07,TCGA-DY-A1DG-01A-11R-A32Y-07,TCGA-DY-A1H8-01A-21R-A155-07,TCGA-EF-5830-01A-01R-1660-07,TCGA-EF-5831-01A-01R-1660-07,TCGA-EI-6506-01A-11R-1736-07,TCGA-EI-6508-01A-11R-1736-07,TCGA-EI-6509-01A-11R-1736-07,TCGA-EI-6511-01A-11R-1736-07,TCGA-EI-6512-01A-11R-1736-07,TCGA-EI-6513-01A-21R-1736-07,TCGA-EI-6514-01A-11R-1736-07,TCGA-EI-6881-01A-11R-A32Z-07,TCGA-EI-6883-01A-31R-1928-07,TCGA-EI-6884-01A-11R-1928-07,TCGA-EI-6885-01A-11R-1928-07,TCGA-EI-6917-01A-11R-1928-07,TCGA-EI-7004-01A-11R-1928-07,TCGA-F5-6464-01A-11R-1736-07,TCGA-F5-6465-01A-11R-1736-07,TCGA-F5-6702-01A-11R-1830-07,TCGA-F5-6810-01A-11R-1830-07,TCGA-F5-6812-01A-11R-1830-07,TCGA-F5-6813-01A-11R-1830-07,TCGA-F5-6814-01A-31R-1928-07,TCGA-F5-6861-01A-11R-1928-07,TCGA-G5-6235-01A-11R-1736-07,TCGA-G5-6572-01A-11R-1830-07,TCGA-G5-6641-01A-11R-A32Z-07
PEAR1,254.1507,203.633,64.4584,137.5502,65.7795,174.2555,35.0621,129.0457,31.556,103.0151,101.8676,300.8825,154.193,65.283,59.0376,65.0045,127.7327,220.0937,72.449,77.1986,45.9941,137.5388,102.8152,144.0107,101.4493,106.4963,27.933,64.9873,93.3333,52.2696,57.072,77.4487,50,87.1287,30.8277,253.8936,201.248,182.7515,80.7256,69.3359,182.9431,341.0596,149.4949,234.8178,230.7692,100.2538,127.03,49.3687,55.7276,66.8875,93.318,75.641,110.3351,52.7876,55.8068,85.3008,105.6604,89.9001,37.0119,92.9714,68.1115,136.7351,102.0008,39.9667,43.1616,84.3091,60.2706,112.1005,22.4852,36.1419,33.6352,51.9099,60.1578,40.2299,44.4444,124.8238,83.3333,80.402,65.3595,21.8302,84.9195,95.6992,74.9283,18.1558,101.8701,113.6597,24.5706,74.7165,172.156,133.1897,162.986,47.4777,40.2542,62.6728,66.0677,27.8468,24.7015,54.2883,20.336,28.6075,35.2147,20.6398,177.2152,44.4778,63.5569,86.8993,65.3741,23.6004,27.81,166.8347,33.3669,17.8224,54.9087,17.1653,12.0482,17.6768,20.8654,147.9211,76.7485,55.0206,72.0379,74.6852,33.0868,35.1647,61.9015,15.9808,89.9329,108.852,105.2829,483.1169,137.6522,103.9978,90.4585,112.1426,90.2291,46.3084,71.0227,26.8301,33.2309,328.3522,22.2956
PGF,306.5134,704.8479,87.735,123.494,247.9714,1233.5713,114.8585,315.1212,241.5669,131.9095,134.6916,127.1887,693.4175,176.6038,200.1617,757.7916,112.9944,116.2095,187.7551,153.0888,148.368,431.2306,282.7417,189.7855,114.9068,102.2364,106.1453,68.8672,105.641,143.0536,152.6055,318.9066,119.697,314.8515,44.3412,252.7182,198.1279,447.6386,1121.542,74.707,176.5909,521.5232,240.404,607.2874,145.4849,247.4619,224.6425,90.7006,166.1507,496.2619,254.6083,234.6154,298.1396,78.3717,129.4719,373.6989,138.6792,236.404,85.7117,218.2968,132.2424,199.3088,74.6348,57.7297,154.3027,129.9766,360.3936,167.0518,112.426,131.0142,144.89,94.0255,183.432,327.5862,1138.2716,74.089,248.9035,637.4731,158.7302,485.0107,60.0293,95.6992,79.272,48.2561,99.4094,192.3813,34.3511,130.7538,212.1641,213.887,387.9304,279.3557,137.3588,159.9078,234.504,139.2342,105.9421,155.5657,78.2493,192.9603,180.4149,1025.1118,348.2207,116.9415,164.794,84.7926,98.0612,76.8386,134.9298,211.6935,91.5062,116.8357,110.7979,224.6199,182.6252,81.3131,66.8643,176.7636,129.1266,197.1573,211.901,69.9088,180.2258,160.6894,176.1286,85.0979,113.1991,405.0673,212.4391,1230.303,408.8679,332.4946,336.6378,197.1779,202.7781,93.9275,207.7415,88.7711,42.7905,189.4184,37.5723
PLA2G7,555.5556,591.4613,139.6598,101.4056,151.466,827.9596,60.4518,175.2524,37.5408,70.3518,160.7244,58.2715,178.0884,85.283,53.7808,199.4657,165.07,164.6301,110.2041,171.4071,120.178,133.4023,137.0869,76.6343,210.1449,315.229,146.648,133.8545,430.7692,147.1802,50.8685,191.344,142.4242,138.6139,50.6757,47.0173,24.961,80.0821,45.3515,98.6328,141.0186,74.5033,113.1313,93.1174,36.7893,77.4112,84.2409,194.0304,151.7028,61.4933,123.2719,108.9744,211.28,335.5088,114.9621,78.1924,104.717,143.1743,84.7377,159.167,203.0075,28.9693,34.8296,22.2037,104.6668,59.719,75.0308,36.2678,67.4556,13.5532,24.5796,29.383,80.8679,124.7947,262.5514,53.1508,46.0526,46.9012,56.9561,38.9148,36.6032,31.8997,85.7875,4.3,346.4567,77.3948,69.6565,298.8659,171.3477,98.3253,449.0994,53.4125,79.4492,219.8157,59.8965,142.7151,31.8375,90.3285,66.313,76.8476,61.7463,48.1596,355.8634,165.917,366.8142,166.9519,30.0571,143.798,213.7247,264.6169,66.7338,80.2008,288.2706,65.2281,43.1198,93.4343,214.8192,183.7682,62.199,29.8028,651.2902,184.1077,341.378,83.238,87.8933,103.8753,170.9172,342.1958,530.1611,395.2381,346.1748,308.6385,261.8753,106.2013,136.7684,159.0214,253.196,64.2597,20.0296,339.6607,17.7539
PLXNA2,501.9157,958.4635,1068.0394,1885.5422,1813.6969,630.0763,1016.7996,883.7548,727.4211,1687.1859,1276.1743,1880.9357,1431.4698,970.9434,1061.0594,735.5298,107.099,1208.7544,951.0204,1274.4312,1127.5964,1006.2048,870.257,949.442,1515.528,805.1118,458.1006,816.7066,1094.359,207.7029,676.1787,599.0888,1163.6364,845.5446,1559.5439,2235.6744,2391.5757,2008.2136,2392.7438,1507.8125,2227.0781,1586.0927,1648.4848,708.502,1653.8462,719.5431,1052.343,587.8318,1578.9474,845.8028,1211.9816,805.1282,1069.3116,1113.397,1401.8679,1726.3265,1142.4528,754.717,1083.0844,466.7163,1117.6471,470.4615,1321.0352,1036.1736,1211.7615,2128.8056,1396.064,507.7495,1435.503,1241.2469,1623.5446,1992.1645,1239.645,1032.8407,429.6296,1021.9448,2084.4298,1487.4372,1474.3231,1919.1617,1915.0805,1343.2071,1113.0658,1340.1816,2413.3858,677.5358,1125.9542,1350.7672,1009.4969,1716.5802,1397.4175,1076.3035,789.9011,1821.659,1005.8989,1534.0627,587.8963,783.3029,618.4792,432.4779,457.7906,740.2821,1355.6246,1252.8736,1110.4301,1314.549,1919.5203,785.9495,1159.7786,958.1653,1728.0015,1402.0288,2006.6185,530.1618,2823.7159,838.3838,702.786,2495.7045,2158.7784,1167.8129,994.6288,1102.9092,1039.3149,1580.1867,923.0506,1819.4167,1906.9351,1979.6684,475.0843,1709.9567,1704.5248,1042.9596,1057.4143,1369.1051,793.5415,1743.1193,678.6222,1373.3024,1519.5175,1997.1729,1252.2709
PTGDR,31.9285,24.0657,75.2014,2.008,6.9242,45.2867,0,37.8812,0.5441,12.5628,10.7527,27.4548,11.7223,4.9057,1.6175,4.4524,16.7035,11.4449,39.7959,51.0296,7.4184,12.4095,1.224,2.5716,11.3872,5.3248,5.5866,14.5494,4.1026,13.7552,7.4442,18.2232,3.0303,7.9208,4.6453,24.6841,15.6006,16.4271,15.4195,5.3711,52.088,24.8344,8.0808,36.4372,5.0167,58.3756,4.0115,91.8487,18.5759,7.5518,6.9124,6.4103,542.2853,32.7089,26.7873,5.0774,7.5472,29.9667,7.792,5.5783,10.1725,12.7465,94.5374,2.9605,7.5533,15.2225,25.8303,1.099,1.1834,0,7.762,6.856,2.9586,1028.7356,6234.5679,96.6378,858.5526,2343.1443,4.6685,7.5931,10.2489,2.2786,5.4296,2.8667,74.8031,8.4029,38.8836,14.9433,28.2885,5.0925,9.866,5.0869,3.8842,16.5899,5.0821,0.4973,2.1957,6.3869,26.9673,3.3656,1.4472,5.504,9.5534,2.9985,13.6193,14.2199,765.3284,2.1954,2.575,8.0645,5.5612,0.9901,9.8051,2.9426,0,1.0101,3.3195,12.7731,252.4334,11.4626,17.2722,6.079,5.8388,3.561,2.394,7.9904,20.1342,22.2083,35.9685,28.1385,9.086,38.0207,19.8265,4.8273,8.0731,3.495,794.0341,30.4737,28.6787,3.6349,8.6705
PTPRB,546.6071,1112.1046,845.0582,1360.1606,1129.0447,398.4248,617.1042,673.0732,1330.7889,941.5766,917.3741,995.6352,1375.5636,764.8981,704.812,1106.634,427.6984,657.4022,377.3673,841.1639,418.1157,510.8583,577.4419,677.3595,656.3147,568.5091,724.8603,810.4504,414.2462,202.9849,1100.1241,1276.6059,508.4091,545.2178,697.2086,242.1393,820.5928,367.5565,1569.5737,932.6074,448.363,718.543,540.8889,414.7773,429.2809,435.1777,474.6909,633.6184,569.5356,562.0705,944.7005,897.0897,833.0301,461.7715,544.3734,746.3823,509.3585,793.374,752.8215,1208.9922,824.4096,275.7182,473.9307,687.9748,539.5198,716.4169,499.385,173.6459,1800.9586,477.7502,409.9353,950.049,509.8619,436.5435,309.465,508.5565,561.4035,690.95,1019.0943,364.4699,654.4656,845.2521,827.111,605.3512,861.1565,574.4902,1037.2137,480.3149,978.7634,1561.0538,791.6423,956.3374,593.2203,1027.6452,712.5873,632.0189,716.8931,670.6022,656.4987,543.5423,596.7197,231.1662,1023.6398,1014.9925,727.2727,1239.763,744.2885,748.6279,523.7543,296.371,971.6798,616.358,578.5023,657.6606,597.3304,777.2727,754.9496,1109.5852,1053.011,539.193,438.1169,632.6444,695.1576,715.7489,517.0964,567.3112,964.2058,1421.955,484.0614,1596.5368,974.4685,844.2643,833.102,812.4731,975.4244,1640.4543,972.2905,1073.8622,1024.2404,1082.7827,1078.5425
RASSF4,1356.7476,1014.4626,358.863,535.1406,181.3264,631.2577,328.8579,309.5973,376.4962,229.8995,230.8998,265.5834,589.2696,358.8679,453.5261,647.3731,444.4412,382.7781,667.3469,294.4015,355.4006,334.9121,652.3868,332.2533,489.648,422.0021,291.8994,308.2146,374.359,290.2338,249.8139,313.2118,267.1818,472.6139,309.5439,534.8222,829.5008,827.5154,365.4785,156.7383,458.6282,975.0331,601.2929,605.2632,337.7926,240.698,498.7598,409.8749,504.5511,582.5683,303.6521,323.6538,856.8578,573.2148,208.2935,481.3404,238.6792,409.545,374.9887,346.1212,766.475,56.7798,165.4404,284.2076,596.7089,359.4848,370.2337,150.0828,241.4201,203.2979,297.969,302.6445,196.2525,208.8342,518.5185,120.604,310.307,361.7995,273.3707,895.9885,268.4773,186.2034,401.6919,142.3794,713.0906,235.2801,447.7576,647.7598,691.8569,157.0816,433.7085,250.4578,424.7634,392.5668,362.2833,278.4535,357.3487,166.9708,280.2829,444.2575,555.234,261.4379,977.3107,702.1489,647.7857,181.1666,205.891,125.6861,248.5747,545.8669,245.1962,211.8885,396.578,194.7033,595.4344,573.7374,211.9739,356.8235,179.3223,520.4035,622.6224,531.0248,326.5862,261.2872,231.5698,218.5378,382.1029,624.6481,977.145,479.3723,561.9662,531.6336,596.8608,264.029,565.5942,225.426,341.1506,567.0752,282.9453,304.5234,205.2023
ROBO4,417.1988,505.8429,180.8415,163.6546,310.2889,894.9052,130.5759,486.2108,165.3972,294.598,413.6955,174.8144,663.2101,236.6038,311.3627,201.2467,161.1398,207.7684,167.3469,248.6057,170.6231,365.0465,290.0857,128.581,313.6646,251.3312,163.4078,131.9146,157.9487,149.9312,150.1241,297.2665,92.4242,329.703,127.9561,760.5054,468.0187,363.4497,167.3469,262.207,398.9176,951.9868,323.2323,880.5668,463.2107,370.5584,298.1861,119.4033,204.3344,230.8696,429.7235,283.3333,404.9533,120.1484,162.956,184.8185,302.8302,364.04,143.1775,307.1774,185.7585,435.6983,191.5625,78.4531,210.4127,221.3115,202.952,267.063,132.5444,211.204,157.8266,180.2155,231.7554,193.7603,157.2016,163.479,690.7895,410.6246,171.8021,96.8123,134.6999,259.7551,175.9187,76.9231,208.1693,382.5512,89.2176,225.7505,616.2861,592.3024,709.956,215.7694,325.9181,350.2304,381.8858,135.2561,163.579,327.5547,99.9116,107.1378,233.9604,364.6371,407.4516,261.8691,270.5709,269.6511,218.2895,88.3644,87.5499,214.2137,91.5062,157.4312,226.9886,198.1363,96.3855,81.8182,158.8619,556.2492,262.9818,251.7194,351.3428,239.2531,182.5613,148.6711,265.3899,111.0667,307.3826,387.238,230.0487,1888.3117,442.9402,269.1268,337.4639,474.5637,248.8425,180.4281,239.7017,147.731,105.6106,176.0905,37.9851
SDPR,466.1558,919.1253,189.7941,120.4819,154.4953,75.8061,106.3952,213.5498,107.1817,228.0151,179.4001,107.5781,438.2326,88.3019,116.8621,97.9519,45.1977,118.8506,60.2041,96.8254,51.9288,112.7198,89.3513,133.7242,80.7453,61.7678,37.7095,71.7771,69.7436,67.4003,43.4243,105.9226,22.7273,88.1188,57.8547,49.3682,118.5647,207.3922,328.7982,106.4453,87.6602,258.2781,105.0505,121.4575,65.2174,90.1015,129.7043,48.2206,124.871,105.7254,111.7512,64.1026,238.2769,79.3433,92.6394,56.8672,130.1887,132.0755,72.0758,56.5266,228.2176,68.3676,17.4148,28.1247,57.1891,37.4707,57.8106,31.8717,37.8698,49.6951,29.7542,47.0127,98.6193,50.0821,86.4198,19.3276,252.193,59.3443,234.3604,74.9821,26.3543,90.0028,70.5847,48.7339,277.5591,117.1978,113.5496,255.6371,154.7787,149.2508,167.7217,85.6295,63.9124,219.8157,144.8407,147.6877,54.3434,176.0949,53.9346,90.3099,278.3406,45.4076,104.1318,166.9165,149.3588,179.5918,439.9605,55.9824,106.6049,402.7218,14.6612,106.4393,112.7589,36.2923,22.8282,124.7475,59.2768,181.7081,164.4091,27.9688,64.455,94.2249,87.1935,397.4948,55.0616,59.5286,315.4362,144.1977,61.0716,1003.0303,507.9048,210.6048,357.7034,685.8522,586.0145,179.1175,112.571,93.7396,66.0066,124.3942,73.493
SH2D1B,5.1086,5.5536,19.6956,5.0201,7.3569,21.6589,0,8.7418,11.9695,0.6281,4.5274,4.4824,5.8611,0.3774,1.2131,3.5619,3.9302,3.5215,5.102,14.393,1.4837,1.0341,2.448,9.2578,2.0704,29.819,5.5866,24.249,4.1026,4.1265,1.2407,2.2779,16.6667,1.9802,0,0,4.6802,0,19.0476,0.4883,3.8113,6.6225,4.0404,0,3.3445,0,5.3486,13.7773,7.2239,1.0788,6.9124,3.8462,12.9116,11.6586,4.4645,4.0619,0.9434,3.3296,2.922,2.9751,7.0765,2.3175,6.2196,7.4012,0,2.3419,4.92,3.2971,7.1006,2.2589,2.5873,1.9589,1.9724,0.821,7.4074,3.2213,6.5789,6.7002,0.9337,2.8474,5.8565,9.1142,2.1718,8.6001,24.6063,7.9606,3.3397,36.8245,3.6371,0.7835,5.1303,1.2717,1.0593,8.7558,1.452,1.9891,16.4677,2.281,0.8842,2.2437,0.4824,11.0079,2.3883,0,1.8159,2.6333,1.8786,2.1954,0.515,6.5524,1.0111,1.4852,0.4903,0.4904,1.2682,9.596,0,22.662,5.8198,1.834,4.2127,6.5132,0.3893,2.2256,4.446,8.7895,11.6331,0.9384,10.1161,7.3593,24.0778,3.7275,3.3044,1.8567,5.2238,4.3687,4.9716,1.9874,8.1939,1.6155,3.3031
SHANK3,688.8037,534.0738,205.9087,173.6948,215.0817,413.4876,154.7567,275.1587,297.062,234.2965,447.0855,194.425,1154.193,477.3585,256.7732,380.2315,172.9305,266.7535,215.3061,236.8296,234.4214,444.6743,564.2595,146.5823,263.9752,281.1502,138.2682,86.3265,148.7179,101.7882,261.7866,242.5968,106.0606,453.4653,104.7297,672.3479,480.4992,472.2793,531.9728,216.7969,498.0118,841.0596,810.101,574.8988,408.0268,286.802,433.2391,107.9222,209.4943,140.2479,306.4516,356.4103,362.6973,605.5999,293.544,400.1015,238.6792,405.1054,151.9435,243.2131,262.7156,601.4027,389.3446,116.9396,264.3647,223.6534,418.2042,719.8613,106.5089,268.8051,377.749,290.8913,533.5306,445.8128,688.0658,131.2664,638.1579,502.5126,346.4052,294.2335,114.202,297.3512,245.4174,121.8347,348.4252,445.3516,196.0878,350.6338,673.6714,442.6599,379.2483,141.5854,152.8955,160.8295,235.2301,328.1949,199.8079,124.0876,69.8497,99.2848,214.1823,64.6715,508.2398,328.8356,356.3727,191.7051,388.112,107.5741,104.5449,359.375,359.9582,135.1532,278.9558,255.5174,177.5523,75.7576,179.7273,292.1338,176.4124,162.3109,235.4924,198.4368,305.9556,148.226,149.7948,314.0232,242.5056,406.944,468.3402,1035.4978,523.3509,392.5077,368.8558,291.8678,336.6971,217.1254,312.1449,238.8208,139.2967,498.3845,80.512
SHE,154.5338,319.7964,47.4485,32.1285,73.1364,126.9998,42.3163,106.983,21.7628,86.6834,76.9666,44.8242,142.4707,46.7925,54.1852,40.9617,45.1977,43.1384,32.6531,68.0394,29.6736,55.8428,35.4957,39.6029,77.6398,53.2481,25.1397,28.1288,41.0256,30.2613,29.7767,74.0319,13.6364,65.3465,26.1824,19.9824,17.1607,51.3347,116.0998,80.5664,39.3836,56.2914,24.2424,34.413,20.0669,48.2234,56.1606,29.8508,44.3756,36.6802,65.6682,78.2051,97.4236,62.8269,37.9487,34.5265,43.3962,86.5705,16.5579,66.5675,84.0336,59.0974,21.1465,20.7235,35.6083,43.3255,49.2005,24.1785,24.8521,19.2004,23.2859,30.3624,33.5306,26.2726,32.9218,20.9382,66.886,48.8155,39.2157,7.5931,20.4978,41.014,47.7804,16.7224,150.5906,77.3948,19.5611,55.5037,183.4714,100.284,122.7328,29.6736,71.6808,102.3041,62.0746,54.6992,36.2289,43.7956,14.1468,30.8512,68.4998,22.0158,122.7609,69.4653,109.4087,64.7795,102.1941,33.4797,28.84,49.8992,21.739,32.1793,48.5354,9.8087,7.6094,22.2222,52.1636,70.8703,48.377,36.2219,56.4508,53.4086,52.5496,73.8904,42.4077,35.1578,87.6957,96.6531,67.0663,415.5844,155.8241,120.3988,129.6985,133.6799,128.2203,78.637,60.0142,36.7671,23.2161,71.0824,16.1024
SIRPG,37.4628,114.775,42.9722,14.0562,40.2467,17.7209,9.6723,60.7764,7.0729,16.9598,13.5823,28.0151,32.0108,13.9623,23.8577,20.4809,27.5117,29.0524,65.3061,39.2535,10.3858,22.7508,34.2717,18.0013,67.2878,155.4846,44.6927,36.8585,37.9487,26.1348,23.5732,30.7517,9.0909,33.6634,30.4054,18.8069,21.8409,86.2423,97.9592,9.2773,104.1759,18.2119,179.798,38.4615,40.1338,53.2995,64.1836,80.3676,27.8638,9.7095,23.0415,7.6923,38.7347,134.3978,16.7421,8.1239,13.2075,19.9778,25.3239,5.5783,37.594,0,17.4148,28.1247,7.5533,24.5902,20.9102,4.3961,16.568,4.5177,25.8732,22.5269,19.7239,34.4828,41.1523,8.0532,44.9561,31.5865,14.9393,41.7622,21.9619,38.7354,31.4916,1.9111,78.7402,3.538,14.313,69.3796,30.7133,30.1635,38.6746,4.2391,7.4153,68.2028,17.0614,2.9836,17.5655,20.9854,11.4943,66.7508,22.1901,23.3918,44.4232,16.4918,48.5756,51.6129,25.1728,19.7585,10.815,6.5524,12.639,24.7533,36.279,6.3757,18.3893,13.6364,13.278,34.199,15.6407,1.834,110.3739,14.7634,22.1876,15.1342,33.8577,27.9664,34.0045,21.8955,58.4489,16.8831,43.1583,57.4038,40.8922,17.4527,55.5622,41.9397,49.7159,12.2557,9.5596,4.0388,6.1932
SLC25A37,567.9012,238.3432,460.1611,501.004,228.93,1336.9431,317.9766,434.1763,368.3351,541.4573,347.4816,345.7067,804.7791,376.2264,435.5034,463.0454,1750.9211,578.4062,498.9796,465.8085,222.5519,399.1727,348.8372,513.8096,374.7412,730.5644,460.8939,394.7739,292.3077,308.1155,426.799,250.5695,319.697,424.7525,435.8108,407.8754,452.4181,340.8624,506.1224,219.7266,506.9048,508.2781,698.9899,504.0486,339.4649,686.5482,517.48,411.023,312.6935,331.2008,218.894,867.9487,542.2853,470.5543,311.4022,518.9134,379.2453,368.4795,438.2985,643.7337,482.0876,644.2773,916.7636,452.9559,197.4643,494.1452,305.0431,415.4314,338.4615,477.7502,357.0505,721.8413,213.0178,590.312,522.6337,595.1278,313.5965,530.2704,384.6872,281.8947,380.6735,790.6579,279.0809,557.5729,490.1575,396.2612,343.5115,853.9026,924.6312,536.6761,493.299,440.017,557.2034,190.7834,161.9022,210.3431,586.2495,148.7226,300.1768,275.4172,237.8196,118.3351,257.9412,132.4338,227.443,891.6392,385.4821,149.8353,140.5948,265.121,335.6913,274.2669,186.7876,557.1359,821.1795,191.9192,130.8832,664.6147,406.2941,607.978,510.5845,345.6361,305.1771,248.3786,526.6758,239.7123,311.8568,463.5596,502.81,355.4113,194.4394,608.331,193.7216,305.9785,302.9799,211.446,468.75,360.7155,324.1152,373.5864,330.3055
STEAP4,509.5785,860.3494,90.4208,47.1888,62.7502,340.635,73.7512,107.8156,30.4679,43.9698,142.6146,22.9724,86.1136,25.283,19.814,34.7284,139.5235,178.7161,74.4898,53.6465,44.5104,39.2968,31.8237,48.8608,55.9006,193.8232,44.6927,12.6095,89.2308,41.2655,65.7568,28.4738,93.9394,21.7822,73.4797,10.5789,9.3604,34.9076,342.8571,21.4844,47.0062,74.5033,22.2222,38.4615,21.7391,21.5736,61.5092,57.4054,57.7915,17.2613,39.1705,74.359,90.3809,70.2755,15.6259,26.4026,48.1132,88.7902,55.5178,340.2752,96.8598,70.6851,24.8783,25.1642,29.1341,18.7354,18.4502,28.5746,28.4024,18.0709,19.4049,5.8766,49.3097,25.4516,46.9136,48.3189,27.4123,22.0148,59.7572,41.7622,168.3748,23.9248,140.0834,21.0225,173.7205,29.6311,22.9008,232.1548,88.5027,50.5337,99.4491,25.4345,124.2938,58.0645,30.4928,16.907,25.2504,28.7409,48.6295,58.3368,25.0844,13.7599,223.5491,32.9835,128.0218,40.553,31.9356,53.2382,25.235,130.5444,22.2446,16.8323,51.9672,166.258,3.8047,30.303,47.8957,40.7916,29.8264,56.3961,197.1564,35.6057,120.2803,63.6526,106.7031,33.5597,98.434,47.8574,54.7021,316.0173,199.891,132.6997,210.2437,110.2859,283.5094,234.1634,17.0455,22.1928,25.4922,51.6963,69.777
